id,fen,engine,bestmove,eval,wins,draws,losses,depth,seldepth,nodes,time,hashfull
0,bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w KQkq - 0 1,Stockfish 17.1,b4,0.25,64,924,12,11,19,100632,0.016,0
1,bqnbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBNRKR w KQkq - 0 1,Stockfish 17.1,b4,0.42,112,882,6,11,14,100446,0.015,0
2,bqnnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BQNNRBKR w KQkq - 0 1,Stockfish 17.1,b4,0.36,92,900,8,11,20,100479,0.017,0
3,bqnnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BQNNRKRB w KQkq - 0 1,Stockfish 17.1,b4,0.33,85,906,9,12,19,101044,0.016,1
4,qbbnnrkr/pppppppp/8/8/8/8/PPPPPPPP/QBBNNRKR w KQkq - 0 1,Stockfish 17.1,h4,0.24,63,925,12,11,21,100194,0.016,0
5,qnbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/QNBBNRKR w KQkq - 0 1,Stockfish 17.1,d4,0.21,57,930,13,10,17,100824,0.017,1
6,qnbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBNRBKR w KQkq - 0 1,Stockfish 17.1,d4,0.34,88,904,8,11,17,100351,0.017,0
7,qnbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBNRKRB w KQkq - 0 1,Stockfish 17.1,g4,0.51,150,845,5,9,16,100658,0.02,0
8,qbnnbrkr/pppppppp/8/8/8/8/PPPPPPPP/QBNNBRKR w KQkq - 0 1,Stockfish 17.1,c4,0.42,113,881,6,10,16,100269,0.017,0
9,qnnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/QNNBBRKR w KQkq - 0 1,Stockfish 17.1,c4,0.44,122,872,6,12,17,100398,0.018,0
10,qnnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNNRBBKR w KQkq - 0 1,Stockfish 17.1,c4,0.32,81,910,9,11,16,100466,0.017,0
11,qnnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNNRBKRB w KQkq - 0 1,Stockfish 17.1,c4,0.32,81,910,9,9,18,100459,0.017,0
12,qbnnrkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNNRKBR w KQkq - 0 1,Stockfish 17.1,c4,0.33,85,906,9,9,19,101791,0.017,0
13,qnnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/QNNBRKBR w KQkq - 0 1,Stockfish 17.1,e4,0.24,64,924,12,11,14,100338,0.02,0
14,qnnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNNRKBBR w KQkq - 0 1,Stockfish 17.1,e4,0.37,97,895,8,12,18,101656,0.02,0
15,qnnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNNRKRBB w KQkq - 0 1,Stockfish 17.1,b3,0.57,176,820,4,11,18,100787,0.018,0
16,bbnqnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQNRKR w KQkq - 0 1,Stockfish 17.1,c4,0.25,65,923,12,12,15,100763,0.017,0
17,bnqbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBNRKR w KQkq - 0 1,Stockfish 17.1,h4,0.19,53,933,14,13,22,100661,0.016,0
18,bnqnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQNRBKR w KQkq - 0 1,Stockfish 17.1,d4,0.66,232,765,3,11,18,100244,0.016,0
19,bnqnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQNRKRB w KQkq - 0 1,Stockfish 17.1,b4,0.31,78,912,10,10,21,100140,0.019,0
20,nbbqnrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQNRKR w KQkq - 0 1,Stockfish 17.1,c4,0.24,62,926,12,11,15,100687,0.017,0
