id,fen,engine,move,score,wins,draws,losses,depth,seldepth,nodes,time,hashfull
0,bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w KQkq - 0 1,Stockfish 17.1,b2b4,29,74,916,10,11,17,101194,0.015,0
1,bqnbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBNRKR w KQkq - 0 1,Stockfish 17.1,c2c4,23,61,927,12,9,18,100112,0.016,0
2,bqnnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BQNNRBKR w KQkq - 0 1,Stockfish 17.1,h2h4,35,91,901,8,11,17,100204,0.017,0
3,bqnnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BQNNRKRB w KQkq - 0 1,Stockfish 17.1,f1g1,24,63,925,12,10,21,100376,0.017,0
4,qbbnnrkr/pppppppp/8/8/8/8/PPPPPPPP/QBBNNRKR w KQkq - 0 1,Stockfish 17.1,c2c4,33,84,907,9,14,17,100463,0.016,0
5,qnbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/QNBBNRKR w KQkq - 0 1,Stockfish 17.1,d2d4,34,88,904,8,12,15,100890,0.018,0
6,qnbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBNRBKR w KQkq - 0 1,Stockfish 17.1,d2d4,18,52,933,15,9,18,100294,0.016,0
7,qnbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBNRKRB w KQkq - 0 1,Stockfish 17.1,g2g4,63,214,783,3,10,18,100199,0.017,0
8,qbnnbrkr/pppppppp/8/8/8/8/PPPPPPPP/QBNNBRKR w KQkq - 0 1,Stockfish 17.1,c2c4,25,66,923,11,11,18,100403,0.016,0
9,qnnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/QNNBBRKR w KQkq - 0 1,Stockfish 17.1,d2d4,39,102,891,7,13,18,100168,0.018,0
10,qnnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNNRBBKR w KQkq - 0 1,Stockfish 17.1,c2c4,29,74,916,10,13,19,101017,0.017,1
11,qnnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNNRBKRB w KQkq - 0 1,Stockfish 17.1,g2g4,22,60,927,13,9,16,100795,0.018,0
12,qbnnrkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNNRKBR w KQkq - 0 1,Stockfish 17.1,b2b3,27,69,920,11,9,16,100329,0.019,0
13,qnnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/QNNBRKBR w KQkq - 0 1,Stockfish 17.1,f2f4,21,57,930,13,10,18,100204,0.019,0
14,qnnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNNRKBBR w KQkq - 0 1,Stockfish 17.1,e2e4,43,118,876,6,12,19,101074,0.018,0
15,qnnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNNRKRBB w KQkq - 0 1,Stockfish 17.1,b2b3,77,305,693,2,10,19,101058,0.016,0
16,bbnqnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQNRKR w KQkq - 0 1,Stockfish 17.1,h2h4,35,91,901,8,13,17,100232,0.016,0
17,bnqbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBNRKR w KQkq - 0 1,Stockfish 17.1,b2b4,18,52,933,15,11,17,100049,0.018,0
18,bnqnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQNRBKR w KQkq - 0 1,Stockfish 17.1,d2d4,44,119,875,6,10,21,100899,0.017,0
19,bnqnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQNRKRB w KQkq - 0 1,Stockfish 17.1,b2b4,54,161,835,4,11,15,101014,0.02,0
20,nbbqnrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQNRKR w KQkq - 0 1,Stockfish 17.1,c2c4,25,65,923,12,11,18,100861,0.016,0
21,nqbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBNRKR w KQkq - 0 1,Stockfish 17.1,c2c4,33,84,907,9,11,19,100165,0.017,0
22,nqbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBNRBKR w KQkq - 0 1,Stockfish 17.1,d2d4,46,128,866,6,12,19,100267,0.015,0
23,nqbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBNRKRB w KQkq - 0 1,Stockfish 17.1,f1g1,23,61,927,12,10,17,100866,0.017,0
24,nbqnbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBQNBRKR w KQkq - 0 1,Stockfish 17.1,d2d4,70,256,742,2,11,18,100828,0.018,0
25,nqnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NQNBBRKR w KQkq - 0 1,Stockfish 17.1,c2c4,44,121,873,6,13,17,100718,0.018,1
26,nqnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQNRBBKR w KQkq - 0 1,Stockfish 17.1,c2c4,43,116,878,6,12,16,100617,0.017,1
27,nqnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQNRBKRB w KQkq - 0 1,Stockfish 17.1,c2c4,34,87,904,9,14,19,100584,0.018,0
28,nbqnrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQNRKBR w KQkq - 0 1,Stockfish 17.1,d2d4,26,67,922,11,11,17,101259,0.017,1
29,nqnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/NQNBRKBR w KQkq - 0 1,Stockfish 17.1,c2c4,33,85,906,9,10,12,101087,0.018,0
30,nqnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/NQNRKBBR w KQkq - 0 1,Stockfish 17.1,e2e4,15,47,937,16,10,24,100434,0.017,0
31,nqnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/NQNRKRBB w KQkq - 0 1,Stockfish 17.1,f2f4,32,83,908,9,12,15,100455,0.017,0
32,bbnnqrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNNQRKR w KQkq - 0 1,Stockfish 17.1,b2b4,32,82,909,9,12,16,100406,0.019,0
33,bnnbqrkr/pppppppp/8/8/8/8/PPPPPPPP/BNNBQRKR w KQkq - 0 1,Stockfish 17.1,h2h4,44,121,873,6,14,18,101229,0.017,1
34,bnnqrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNNQRBKR w KQkq - 0 1,Stockfish 17.1,h2h4,33,84,907,9,11,18,100217,0.016,0
35,bnnqrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNNQRKRB w KQkq - 0 1,Stockfish 17.1,f1g1,23,60,927,13,11,16,100631,0.02,0
36,nbbnqrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBNQRKR w KQkq - 0 1,Stockfish 17.1,e2e4,55,168,828,4,11,20,100316,0.016,0
37,nnbbqrkr/pppppppp/8/8/8/8/PPPPPPPP/NNBBQRKR w KQkq - 0 1,Stockfish 17.1,e2e4,27,69,920,11,12,19,100625,0.017,1
38,nnbqrbkr/pppppppp/8/8/8/8/PPPPPPPP/NNBQRBKR w KQkq - 0 1,Stockfish 17.1,e2e4,38,100,893,7,11,15,100754,0.017,0
39,nnbqrkrb/pppppppp/8/8/8/8/PPPPPPPP/NNBQRKRB w KQkq - 0 1,Stockfish 17.1,d2d4,24,63,925,12,13,19,100342,0.018,0
40,nbnqbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBNQBRKR w KQkq - 0 1,Stockfish 17.1,c2c4,38,100,893,7,12,19,100994,0.017,0
41,nnqbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NNQBBRKR w KQkq - 0 1,Stockfish 17.1,h2h4,41,108,885,7,12,21,100157,0.016,1
42,nnqrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NNQRBBKR w KQkq - 0 1,Stockfish 17.1,c2c4,39,101,892,7,13,18,100910,0.019,1
43,nnqrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NNQRBKRB w KQkq - 0 1,Stockfish 17.1,c2c4,34,88,904,8,12,20,100538,0.019,1
44,nbnqrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBNQRKBR w KQkq - 0 1,Stockfish 17.1,f2f3,31,79,912,9,12,17,100111,0.016,0
45,nnqbrkbr/pppppppp/8/8/8/8/PPPPPPPP/NNQBRKBR w KQkq - 0 1,Stockfish 17.1,d2d4,43,116,878,6,11,16,100761,0.019,1
46,nnqrkbbr/pppppppp/8/8/8/8/PPPPPPPP/NNQRKBBR w KQkq - 0 1,Stockfish 17.1,c2c4,48,138,857,5,13,17,100447,0.018,1
47,nnqrkrbb/pppppppp/8/8/8/8/PPPPPPPP/NNQRKRBB w KQkq - 0 1,Stockfish 17.1,f2f4,30,76,914,10,10,16,100801,0.017,0
48,bbnnrqkr/pppppppp/8/8/8/8/PPPPPPPP/BBNNRQKR w KQkq - 0 1,Stockfish 17.1,c1d3,29,75,915,10,11,20,100092,0.017,0
49,bnnbrqkr/pppppppp/8/8/8/8/PPPPPPPP/BNNBRQKR w KQkq - 0 1,Stockfish 17.1,h2h4,37,96,896,8,11,19,100012,0.016,0
50,bnnrqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNNRQBKR w KQkq - 0 1,Stockfish 17.1,e2e4,44,122,872,6,11,15,100431,0.017,0
51,bnnrqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNNRQKRB w KQkq - 0 1,Stockfish 17.1,c2c4,29,74,916,10,11,17,100336,0.018,1
52,nbbnrqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBNRQKR w KQkq - 0 1,Stockfish 17.1,e2e4,39,103,890,7,11,20,100439,0.016,1
